Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|Q86Y91|KI18B_HUMAN,Kinesin-like protein KIF18B OS=Homo sapiens OX=9606 GN=KIF18B PE=1 SV=4,KIF18B,9841409.03,8701118.03,8968719.61,116964.85,153472.67,84308.32
sp|Q8TCT8|SPP2A_HUMAN,Signal peptide peptidase-like 2A OS=Homo sapiens OX=9606 GN=SPPL2A PE=1 SV=2,SPPL2A,6901899.24,6755399.93,5216922.75,183362.08,151495.23,616204.40
sp|Q8TAE8|G45IP_HUMAN,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens OX=9606 GN=GADD45GIP1 PE=1 SV=1,GADD45GIP1,1099843.93,1139422.97,908811.04,18284.76,150781.03,23078.26
sp|A6NKH3|RL37L_HUMAN,Putative 60S ribosomal protein L37a-like protein OS=Homo sapiens OX=9606 GN=RPL37AP8 PE=5 SV=2,RPL37AP8,6370474.43,4270397.20,4305110.01,327111.74,150649.56,358969.25
sp|P62249|RS16_HUMAN,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,RPS16,4699926.18,4607893.26,5003781.22,82543.76,150481.67,3580.44
sp|Q9Y4C2|TCAF1_HUMAN,TRPM8 channel-associated factor 1 OS=Homo sapiens OX=9606 GN=TCAF1 PE=1 SV=3,TCAF1,415842.24,319150.68,119634.57,36041.69,149700.94,247475.82
sp|Q9UNL2|SSRG_HUMAN,Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3 PE=1 SV=1,SSR3,8500574.56,7948248.89,6091944.79,199773.14,148908.65,339633.67
sp|Q8NCC3|PAG15_HUMAN,Phospholipase A2 group XV OS=Homo sapiens OX=9606 GN=PLA2G15 PE=1 SV=2,PLA2G15,1927377.14,607302.51,1917504.03,0.00,148676.41,156540.07
sp|P45985|MP2K4_HUMAN,Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP2K4 PE=1 SV=1,MAP2K4,3962606.38,3950955.07,3836530.18,601061.79,148384.64,0.00
sp|Q9P003|CNIH4_HUMAN,Protein cornichon homolog 4 OS=Homo sapiens OX=9606 GN=CNIH4 PE=1 SV=1,CNIH4,6231023.78,6576794.22,5242136.41,56469.04,147800.45,76802.00
sp|Q9Y2R9|RT07_HUMAN,"28S ribosomal protein S7, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS7 PE=1 SV=2",MRPS7,566102.97,476787.85,375527.89,109258.83,147304.17,316640.55
sp|Q00653|NFKB2_HUMAN,Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens OX=9606 GN=NFKB2 PE=1 SV=4,NFKB2,211483.87,545286.96,554468.29,131259.02,146385.67,342068.45
sp|Q16620|NTRK2_HUMAN,BDNF/NT-3 growth factors receptor OS=Homo sapiens OX=9606 GN=NTRK2 PE=1 SV=1,NTRK2,13521425.73,13608369.61,12224056.57,565879.17,145493.80,336438.36
sp|Q8WY22|BRI3B_HUMAN,BRI3-binding protein OS=Homo sapiens OX=9606 GN=BRI3BP PE=1 SV=1,BRI3BP,51841.94,143819.14,172399.53,70052.32,144172.89,382723.61
sp|Q5TAQ9|DCAF8_HUMAN,DDB1- and CUL4-associated factor 8 OS=Homo sapiens OX=9606 GN=DCAF8 PE=1 SV=1,DCAF8,1667813.58,1331843.00,1412675.94,238848.00,142025.40,101364.55
sp|P14406|CX7A2_HUMAN,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1",COX7A2,23996595.53,22103521.79,26620226.65,1428301.72,141691.90,846461.75
sp|Q96HY7|DHTK1_HUMAN,2-oxoadipate dehydrogenase complex component E1 OS=Homo sapiens OX=9606 GN=DHTKD1 PE=1 SV=2,DHTKD1,2579381.03,2565622.85,2174005.07,130076.58,140591.84,65252.06
sp|O14681|EI24_HUMAN,Etoposide-induced protein 2.4 homolog OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=4,EI24,5182493.22,4288436.77,4190280.83,95032.10,140436.15,33922.06
sp|Q7Z4R8|CF120_HUMAN,UPF0669 protein C6orf120 OS=Homo sapiens OX=9606 GN=C6orf120 PE=1 SV=1,C6orf120,19785.06,163324.96,302827.28,27010.80,140135.21,12461.19
sp|Q9Y5J6|T10B_HUMAN,Mitochondrial import inner membrane translocase subunit Tim10 B OS=Homo sapiens OX=9606 GN=TIMM10B PE=1 SV=1,TIMM10B,1284311.91,1238217.12,942345.96,148572.49,139921.34,181988.70
sp|Q96J65|MRP9_HUMAN,ATP-binding cassette sub-family C member 12 OS=Homo sapiens OX=9606 GN=ABCC12 PE=1 SV=2,ABCC12,2069135.26,2452487.27,2251556.63,249813.33,138902.33,268490.44
sp|O15427|MOT4_HUMAN,Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1,SLC16A3,17954893.32,17141499.71,15644358.73,321650.21,138472.98,1110118.26
sp|P08183|MDR1_HUMAN / sp|P21439|MDR3_HUMAN,"ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3
Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2",ABCB1 / ABCB4,8278387.32,8147365.81,8328533.40,67958.68,138340.58,47261.06
sp|Q9HC16|ABC3G_HUMAN,DNA dC->dU-editing enzyme APOBEC-3G OS=Homo sapiens OX=9606 GN=APOBEC3G PE=1 SV=1,APOBEC3G,3697818.72,3291590.79,1823670.67,4776583.50,137928.89,2029073.60
sp|O43820|HYAL3_HUMAN,Hyaluronidase-3 OS=Homo sapiens OX=9606 GN=HYAL3 PE=1 SV=1,HYAL3,1341727.59,1296199.69,813349.29,0.00,137481.71,16236.50
sp|Q6UXH0|ANGL8_HUMAN,Angiopoietin-like protein 8 OS=Homo sapiens OX=9606 GN=ANGPTL8 PE=1 SV=1,ANGPTL8,4685039.45,3989959.13,3015883.72,304558.84,137279.57,1018821.96
sp|Q9ULI4|KI26A_HUMAN,Kinesin-like protein KIF26A OS=Homo sapiens OX=9606 GN=KIF26A PE=1 SV=3,KIF26A,551506.11,835617.53,1113709.17,395138.73,137075.54,276951.28
sp|O60831|PRAF2_HUMAN,PRA1 family protein 2 OS=Homo sapiens OX=9606 GN=PRAF2 PE=1 SV=1,PRAF2,43320660.33,40381805.41,41538562.63,989668.32,137008.66,950003.99
sp|Q9BVT8|TMUB1_HUMAN,Transmembrane and ubiquitin-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TMUB1 PE=1 SV=1,TMUB1,1935724.07,1932553.97,1812018.92,406141.72,136181.19,605265.54
sp|Q8NHU6|TDRD7_HUMAN,Tudor domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TDRD7 PE=1 SV=2,TDRD7,987773.08,864528.59,1147679.39,171895.07,135449.57,8376.89
sp|Q504Y2|PKDCC_HUMAN,Extracellular tyrosine-protein kinase PKDCC OS=Homo sapiens OX=9606 GN=PKDCC PE=1 SV=2,PKDCC,1145552.14,1371085.12,971801.90,80858.31,135132.19,265672.16
sp|Q8N4V1|EMC5_HUMAN,ER membrane protein complex subunit 5 OS=Homo sapiens OX=9606 GN=MMGT1 PE=1 SV=1,MMGT1,1885078.52,20022.83,1998891.10,208496.37,134908.88,249718.96
sp|Q9GZT3|SLIRP_HUMAN,"SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1",SLIRP,5306320.09,4464585.75,4365551.73,64179.40,134428.71,441176.99
sp|P03956|MMP1_HUMAN,Interstitial collagenase OS=Homo sapiens OX=9606 GN=MMP1 PE=1 SV=3,MMP1,306646.21,584928.10,531964.33,27763.82,133641.20,146714.20
sp|Q99700|ATX2_HUMAN,Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=2,ATXN2,6622405.26,3674981.07,2997887.15,198129.58,133576.98,1660801.77
sp|Q8IYE1|CCD13_HUMAN,Coiled-coil domain-containing protein 13 OS=Homo sapiens OX=9606 GN=CCDC13 PE=1 SV=2,CCDC13,80820611.64,86392447.49,99016730.34,254571.44,133464.76,725435.38
sp|A5PLN9|TPC13_HUMAN,Trafficking protein particle complex subunit 13 OS=Homo sapiens OX=9606 GN=TRAPPC13 PE=1 SV=2,TRAPPC13,1112788.09,756231.43,943209.63,0.00,133172.23,391090.38
sp|P46934|NEDD4_HUMAN,E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens OX=9606 GN=NEDD4 PE=1 SV=4,NEDD4,1301871.97,1496732.95,1236456.06,215011.83,132869.40,67719.08
sp|O95989|NUDT3_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens OX=9606 GN=NUDT3 PE=1 SV=1,NUDT3,6238216.94,5095788.61,6854119.64,474240.32,132791.38,205227.94
sp|Q6QNY1|BL1S2_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens OX=9606 GN=BLOC1S2 PE=1 SV=1,BLOC1S2,507671.04,1172692.71,883335.99,30000.86,132696.94,50941.44
sp|Q9Y4E6|WDR7_HUMAN,WD repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=WDR7 PE=1 SV=2,WDR7,1505724.53,2050140.85,1567417.10,75583.02,132520.53,132005.28
sp|P39019|RS19_HUMAN,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,RPS19,814452.03,934671.11,593908.50,1309854.70,132417.85,519295.09
sp|O14777|NDC80_HUMAN,Kinetochore protein NDC80 homolog OS=Homo sapiens OX=9606 GN=NDC80 PE=1 SV=1,NDC80,4570012.15,5375271.20,4694007.19,61736.71,132390.35,74782.38
sp|O75317|UBP12_HUMAN / sp|P62068|UBP46_HUMAN,"Ubiquitin carboxyl-terminal hydrolase 12 OS=Homo sapiens OX=9606 GN=USP12 PE=1 SV=2
Ubiquitin carboxyl-terminal hydrolase 46 OS=Homo sapiens OX=9606 GN=USP46 PE=1 SV=1",USP12 / USP46,3242821.98,3170879.50,2838367.39,128916.29,130500.88,209065.47
sp|O43708|MAAI_HUMAN,Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=3,GSTZ1,1445653.12,958908.60,1166265.77,82765.88,130217.65,28468.00
sp|Q9C0C2|TB182_HUMAN,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,TNKS1BP1,1585474.16,5938565.25,12339336.35,122145.39,130185.47,235320.26
sp|Q92508|PIEZ1_HUMAN,Piezo-type mechanosensitive ion channel component 1 OS=Homo sapiens OX=9606 GN=PIEZO1 PE=1 SV=4,PIEZO1,1848954.83,1844041.31,1620749.60,7164.39,129942.35,27455.32
sp|Q96PE3|INP4A_HUMAN,Inositol polyphosphate-4-phosphatase type I A OS=Homo sapiens OX=9606 GN=INPP4A PE=1 SV=1,INPP4A,253830.52,243603.26,195414.33,3238210.22,129777.60,56496.76
sp|Q99447|PCY2_HUMAN,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens OX=9606 GN=PCYT2 PE=1 SV=1,PCYT2,5721676.35,7104058.17,7233081.49,883203.73,128684.94,636462.33
sp|Q9P2D8|UNC79_HUMAN,Protein unc-79 homolog OS=Homo sapiens OX=9606 GN=UNC79 PE=1 SV=4,UNC79,514861.95,883718.98,1672822.88,212760.36,128251.96,52178.25
sp|Q9BQG2|NUD12_HUMAN,NAD-capped RNA hydrolase NUDT12 OS=Homo sapiens OX=9606 GN=NUDT12 PE=1 SV=1,NUDT12,543536.69,747366.06,443211.94,3925819.40,128183.95,357550.98
sp|Q7Z5D8|NANGN_HUMAN,NANOG neighbor homeobox OS=Homo sapiens OX=9606 GN=NANOGNB PE=2 SV=1,NANOGNB,3747980.80,3678138.13,3809686.99,65576.03,127718.33,221038.00
sp|Q9UK99|FBX3_HUMAN,F-box only protein 3 OS=Homo sapiens OX=9606 GN=FBXO3 PE=1 SV=3,FBXO3,2454963.13,739559.45,714939.67,2467631.18,127036.29,3852194.09
sp|Q14257|RCN2_HUMAN,Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2 PE=1 SV=1,RCN2,240984.62,419693.90,293584.79,121524.78,126911.88,135306.01
sp|O75864|PPR37_HUMAN,Protein phosphatase 1 regulatory subunit 37 OS=Homo sapiens OX=9606 GN=PPP1R37 PE=1 SV=4,PPP1R37,1548172.59,2578515.16,3395916.53,232855.63,126619.52,489837.30
sp|P86791|CCZ1_HUMAN / sp|P86790|CCZ1B_HUMAN,"Vacuolar fusion protein CCZ1 homolog OS=Homo sapiens OX=9606 GN=CCZ1 PE=1 SV=1
Vacuolar fusion protein CCZ1 homolog B OS=Homo sapiens OX=9606 GN=CCZ1B PE=1 SV=1",CCZ1 / CCZ1B,976366.02,1026296.04,811055.69,30733.61,126095.50,33875.00
sp|Q9NTG7|SIR3_HUMAN,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial OS=Homo sapiens OX=9606 GN=SIRT3 PE=1 SV=2",SIRT3,4614845.12,4607236.25,4411264.16,25783.64,125741.49,142551.33
sp|P0DI82|TPC2B_HUMAN / sp|P0DI81|TPC2A_HUMAN,"Trafficking protein particle complex subunit 2B OS=Homo sapiens OX=9606 GN=TRAPPC2B PE=1 SV=1
Trafficking protein particle complex subunit 2 OS=Homo sapiens OX=9606 GN=TRAPPC2 PE=1 SV=1",TRAPPC2B / TRAPPC2,4873326.02,4000752.19,3573535.27,287017.59,125342.53,668777.63
sp|O95486|SC24A_HUMAN,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,SEC24A,1581372.75,3702174.88,2357833.96,19227.64,125070.34,61139.61
sp|Q96S44|PRPK_HUMAN,EKC/KEOPS complex subunit TP53RK OS=Homo sapiens OX=9606 GN=TP53RK PE=1 SV=2,TP53RK,2939199.25,2665144.52,2669102.98,319237.18,124381.03,209126.05
sp|Q8IZU2|WDR17_HUMAN,WD repeat-containing protein 17 OS=Homo sapiens OX=9606 GN=WDR17 PE=2 SV=2,WDR17,9490917.14,9628076.96,7872839.67,40167.78,124135.48,218263.39
sp|Q92597|NDRG1_HUMAN,Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1,NDRG1,1192405.74,879982.01,985321.77,700278.04,123935.92,545317.48
sp|Q9BZM1|PG12A_HUMAN,Group XIIA secretory phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G12A PE=1 SV=1,PLA2G12A,606030.39,873101.02,710889.99,190802.75,123685.28,54113.60
sp|O00258|GET1_HUMAN,Guided entry of tail-anchored proteins factor 1 OS=Homo sapiens OX=9606 GN=GET1 PE=1 SV=2,GET1,423479.83,358787.16,182124.14,18280.83,123409.60,42981.20
sp|Q8TBF4|ZCRB1_HUMAN,Zinc finger CCHC-type and RNA-binding motif-containing protein 1 OS=Homo sapiens OX=9606 GN=ZCRB1 PE=1 SV=2,ZCRB1,449266.00,370625.57,280011.38,150930.04,122475.01,35633.58
sp|Q8TDB6|DTX3L_HUMAN,E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens OX=9606 GN=DTX3L PE=1 SV=1,DTX3L,2940277.00,3088796.97,2413644.47,228792.16,121369.18,0.00
sp|Q86XU0|ZN677_HUMAN,Zinc finger protein 677 OS=Homo sapiens OX=9606 GN=ZNF677 PE=2 SV=1,ZNF677,495463.45,274573.29,345050.56,106031.68,120882.07,156452.69
sp|P49069|CAMLG_HUMAN,Guided entry of tail-anchored proteins factor CAMLG OS=Homo sapiens OX=9606 GN=CAMLG PE=1 SV=1,CAMLG,645200.01,571031.51,730783.23,25299.92,120770.71,32237.17
sp|P08319|ADH4_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH4 OS=Homo sapiens OX=9606 GN=ADH4 PE=1 SV=5,ADH4,1136773.91,2684179.30,2178556.54,293484.53,120309.83,218107.38
sp|O15534|PER1_HUMAN,Period circadian protein homolog 1 OS=Homo sapiens OX=9606 GN=PER1 PE=1 SV=2,PER1,5035411.34,6255822.60,4487682.80,120777.43,120201.15,59636.45
sp|Q15311|RBP1_HUMAN,RalA-binding protein 1 OS=Homo sapiens OX=9606 GN=RALBP1 PE=1 SV=3,RALBP1,3200650.90,2764670.80,2714127.59,271261.06,119483.18,30194638.79
sp|Q8WTR2|DUS19_HUMAN,Dual specificity protein phosphatase 19 OS=Homo sapiens OX=9606 GN=DUSP19 PE=1 SV=1,DUSP19,295170.06,165316.02,189613.18,24368.77,118862.60,55703.56
sp|Q99828|CIB1_HUMAN,Calcium and integrin-binding protein 1 OS=Homo sapiens OX=9606 GN=CIB1 PE=1 SV=4,CIB1,6160966.13,6590692.95,5490831.74,18123.73,118715.94,1274453.89
sp|P50539|MXI1_HUMAN,Max-interacting protein 1 OS=Homo sapiens OX=9606 GN=MXI1 PE=1 SV=2,MXI1,6780187.25,5614687.92,6399337.71,219612.48,117481.64,670232.93
sp|Q9BPZ7|SIN1_HUMAN,Target of rapamycin complex 2 subunit MAPKAP1 OS=Homo sapiens OX=9606 GN=MAPKAP1 PE=1 SV=2,MAPKAP1,440239.28,705316.69,430399.80,195667.32,117463.49,13809.23
sp|O43181|NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS4 PE=1 SV=1",NDUFS4,14328771.91,11997632.52,16219530.92,285945.46,116875.24,822630.16
sp|Q9Y3B7|RM11_HUMAN,"39S ribosomal protein L11, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1",MRPL11,1634546.60,1281059.06,1899447.27,212985.05,115658.45,312413.33
sp|Q9H3F6|BACD3_HUMAN,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens OX=9606 GN=KCTD10 PE=1 SV=1,KCTD10,887761.13,710783.71,745915.05,79428.41,115513.50,44268.08
sp|Q5QJ74|TBCEL_HUMAN,Tubulin-specific chaperone cofactor E-like protein OS=Homo sapiens OX=9606 GN=TBCEL PE=1 SV=2,TBCEL,1217930.31,561542.49,676117.49,48385.15,115463.66,140790.95
sp|Q9Y3E5|PTH2_HUMAN,"Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTRH2 PE=1 SV=1",PTRH2,12294451.90,12832106.34,12590203.20,152957.85,114672.01,55819.88
sp|Q14767|LTBP2_HUMAN,Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3,LTBP2,4083993.09,3640086.33,3304134.71,29318.88,114444.16,0.00
sp|Q15031|SYLM_HUMAN,"Leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2",LARS2,2981406.78,1789261.99,2093043.00,3297218.45,113988.69,186960.79
sp|Q9UBI1|COMD3_HUMAN,COMM domain-containing protein 3 OS=Homo sapiens OX=9606 GN=COMMD3 PE=1 SV=1,COMMD3,2038702.85,2308193.05,2504760.71,1017.74,113300.68,294887.16
sp|Q969U7|PSMG2_HUMAN,Proteasome assembly chaperone 2 OS=Homo sapiens OX=9606 GN=PSMG2 PE=1 SV=1,PSMG2,1058249.30,141020.91,562272.46,222748.73,113195.22,0.00
sp|Q8TDL5|BPIB1_HUMAN,BPI fold-containing family B member 1 OS=Homo sapiens OX=9606 GN=BPIFB1 PE=1 SV=1,BPIFB1,231655.47,407849.21,438627.37,173068.46,113115.32,64784.47
sp|Q9Y2Y8|PRG3_HUMAN,Proteoglycan 3 OS=Homo sapiens OX=9606 GN=PRG3 PE=1 SV=2,PRG3,2408961.31,2132364.08,2820734.02,155414.23,112811.52,224452.76
sp|Q86SX6|GLRX5_HUMAN,"Glutaredoxin-related protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=GLRX5 PE=1 SV=2",GLRX5,2122257.11,2264132.72,2168644.72,93010.89,112743.33,154428.86
sp|Q86WA8|LONP2_HUMAN,"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",LONP2,481615.48,395409.73,519055.45,159923.46,112741.35,177761.08
sp|Q08174|PCDH1_HUMAN,Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=2,PCDH1,1490682.10,1323089.37,1369633.77,162910.98,112541.35,222297.53
sp|Q13825|AUHM_HUMAN,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=AUH PE=1 SV=1",AUH,2553296.16,2755583.24,2749531.04,802919.01,112202.89,254637.18
sp|P38936|CDN1A_HUMAN,Cyclin-dependent kinase inhibitor 1 OS=Homo sapiens OX=9606 GN=CDKN1A PE=1 SV=3,CDKN1A,1353686.20,1687452.47,1138193.95,83316.90,111749.90,442775.83
sp|O95219|SNX4_HUMAN,Sorting nexin-4 OS=Homo sapiens OX=9606 GN=SNX4 PE=1 SV=1,SNX4,9830832.86,9131094.30,8622070.03,228419.75,111080.82,99253.59
sp|Q9H6L5|RETR1_HUMAN,Reticulophagy regulator 1 OS=Homo sapiens OX=9606 GN=RETREG1 PE=1 SV=1,RETREG1,938681.05,1001313.97,856642.68,63606.04,110339.02,42358.96
sp|Q8NAP8|ZBT8B_HUMAN,Zinc finger and BTB domain-containing protein 8B OS=Homo sapiens OX=9606 GN=ZBTB8B PE=1 SV=2,ZBTB8B,935766.35,386760.77,658616.20,148121.59,109319.24,301015.17
sp|P05060|SCG1_HUMAN,Secretogranin-1 OS=Homo sapiens OX=9606 GN=CHGB PE=1 SV=2,CHGB,929336.28,843215.85,835137.81,141909.35,109090.21,134937.04
sp|Q07157|ZO1_HUMAN,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,311710.98,545038.87,649788.93,119500.68,108997.21,646337.74
sp|P08620|FGF4_HUMAN,Fibroblast growth factor 4 OS=Homo sapiens OX=9606 GN=FGF4 PE=1 SV=1,FGF4,214214.43,863741.86,3651004.88,65375.34,106999.55,81266.02
sp|Q6UX07|DHR13_HUMAN,Dehydrogenase/reductase SDR family member 13 OS=Homo sapiens OX=9606 GN=DHRS13 PE=2 SV=1,DHRS13,2358950.49,2094940.61,2373628.23,155589.44,105833.39,271065.03
sp|Q96D46|NMD3_HUMAN,60S ribosomal export protein NMD3 OS=Homo sapiens OX=9606 GN=NMD3 PE=1 SV=1,NMD3,3322140.17,3011460.78,2521891.92,1503.10,105287.97,587646.53
sp|Q7L8W6|DPH6_HUMAN,Diphthine--ammonia ligase OS=Homo sapiens OX=9606 GN=DPH6 PE=1 SV=3,DPH6,730461.88,801728.35,1011538.78,171292.66,105140.99,1142860.81
sp|Q5VT06|CE350_HUMAN,Centrosome-associated protein 350 OS=Homo sapiens OX=9606 GN=CEP350 PE=1 SV=1,CEP350,7392977.78,6857353.90,5468477.26,366703.84,104365.19,114936.33
sp|O43529|CHSTA_HUMAN,Carbohydrate sulfotransferase 10 OS=Homo sapiens OX=9606 GN=CHST10 PE=1 SV=1,CHST10,144448.36,248569.71,202011.82,37771.77,103255.68,80859.71
sp|Q9NVS2|RT18A_HUMAN,"39S ribosomal protein S18a, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS18A PE=1 SV=1",MRPS18A,2452809.61,2404594.40,1829303.96,107787.20,102679.55,430553.20
sp|O95183|VAMP5_HUMAN,Vesicle-associated membrane protein 5 OS=Homo sapiens OX=9606 GN=VAMP5 PE=1 SV=1,VAMP5,1589875.27,901591.68,1309299.11,371274.80,102627.14,68966.75
sp|Q9NRX4|PHP14_HUMAN,14 kDa phosphohistidine phosphatase OS=Homo sapiens OX=9606 GN=PHPT1 PE=1 SV=1,PHPT1,1950398.17,1149871.95,885006.78,19417.08,102226.39,407708.11
sp|O15121|DEGS1_HUMAN,Sphingolipid delta(4)-desaturase DES1 OS=Homo sapiens OX=9606 GN=DEGS1 PE=1 SV=1,DEGS1,2230107.54,1546292.18,1222932.19,296121.68,101433.83,372420.46
sp|P63279|UBC9_HUMAN,SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1,UBE2I,7903099.97,9477590.86,10385254.46,1777051.03,101433.19,351041.19
sp|O14957|QCR10_HUMAN,Cytochrome b-c1 complex subunit 10 OS=Homo sapiens OX=9606 GN=UQCR11 PE=1 SV=1,UQCR11,20897819.37,25094755.76,22446428.66,977302.72,101274.18,841216.48
sp|O95248|MTMR5_HUMAN,Myotubularin-related protein 5 OS=Homo sapiens OX=9606 GN=SBF1 PE=1 SV=4,SBF1,92682.84,252111.62,439296.39,28633.09,99956.03,4971921.77
sp|Q5VTQ0|TT39B_HUMAN,Tetratricopeptide repeat protein 39B OS=Homo sapiens OX=9606 GN=TTC39B PE=1 SV=4,TTC39B,970636.43,1341803.62,945214.92,106129.03,99547.42,60058.02
sp|Q8WU90|ZC3HF_HUMAN,Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ZC3H15 PE=1 SV=1,ZC3H15,849203.29,1275984.43,707007.39,66327.98,98864.14,76541.57
sp|Q9C093|SPEF2_HUMAN,Sperm flagellar protein 2 OS=Homo sapiens OX=9606 GN=SPEF2 PE=1 SV=2,SPEF2,1799261.41,910933.94,1652354.40,15984.76,98660.08,51127.70
sp|O94907|DKK1_HUMAN,Dickkopf-related protein 1 OS=Homo sapiens OX=9606 GN=DKK1 PE=1 SV=1,DKK1,621195.59,670705.21,563932.92,194256.34,98084.45,71081.92
sp|Q9UP95|S12A4_HUMAN / sp|Q9UHW9|S12A6_HUMAN,"Solute carrier family 12 member 4 OS=Homo sapiens OX=9606 GN=SLC12A4 PE=1 SV=2
Solute carrier family 12 member 6 OS=Homo sapiens OX=9606 GN=SLC12A6 PE=1 SV=2",SLC12A4 / SLC12A6,2605488.57,2509247.57,2747006.26,213669.19,96520.30,177062.04
sp|P29965|CD40L_HUMAN,CD40 ligand OS=Homo sapiens OX=9606 GN=CD40LG PE=1 SV=1,CD40LG,5223982.65,4784796.23,4695283.37,155036.36,96254.59,154393.65
sp|O00115|DNS2A_HUMAN,Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2 PE=1 SV=2,DNASE2,1354209.80,1079938.74,970156.94,128386.75,95139.45,0.00
sp|Q01658|NC2B_HUMAN,Protein Dr1 OS=Homo sapiens OX=9606 GN=DR1 PE=1 SV=1,DR1,1134497.46,1326074.83,1416572.88,583107.86,94805.02,550500.79
sp|Q969S9|RRF2M_HUMAN,"Ribosome-releasing factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=GFM2 PE=1 SV=1",GFM2,414176.14,981474.93,1282065.40,490468.17,94515.30,20861.41
sp|Q14683|SMC1A_HUMAN,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,SMC1A,2786248.12,3790721.34,4184534.93,92233.49,94134.63,22653.87
sp|Q9BXJ8|TACAN_HUMAN,Ion channel TACAN OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1,TMEM120A,545941.40,745549.64,428060.46,223585.63,92973.97,78093.75
sp|P39687|AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,ANP32A,5427012.68,5346608.10,2836306.49,18843.41,91878.08,266262.63
