From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
RFC2,P35250,reviewed,RFC2_HUMAN,Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40),RFC2,Homo sapiens (Human),354
RGN,Q15493,reviewed,RGN_HUMAN,Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30),RGN SMP30,Homo sapiens (Human),299
RGS10,O43665,reviewed,RGS10_HUMAN,Regulator of G-protein signaling 10 (RGS10),RGS10,Homo sapiens (Human),181
RGS16,O15492,reviewed,RGS16_HUMAN,Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (hRGS-r) (Retinally abundant regulator of G-protein signaling),RGS16 RGSR,Homo sapiens (Human),202
RIC8B,Q9NVN3,reviewed,RIC8B_HUMAN,Synembryn-B (Brain synembryn) (hSyn) (Protein Ric-8B),RIC8B,Homo sapiens (Human),520
RLTPR,Q6F5E8,reviewed,CARL2_HUMAN,"Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)",CARMIL2 LRRC16C RLTPR,Homo sapiens (Human),1435
RMDN2,Q96LZ7,reviewed,RMD2_HUMAN,Regulator of microtubule dynamics protein 2 (RMD-2) (hRMD-2) (Protein FAM82A1),RMDN2 FAM82A FAM82A1 BLOCK18 UNQ9371/PRO34163,Homo sapiens (Human),410
RMND5A,Q9H871,reviewed,RMD5A_HUMAN,E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A),RMND5A,Homo sapiens (Human),391
RNASE2,P10153,reviewed,RNAS2_HUMAN,Non-secretory ribonuclease (EC 4.6.1.18) (Eosinophil-derived neurotoxin) (RNase UpI-2) (Ribonuclease 2) (RNase 2) (Ribonuclease US),RNASE2 EDN RNS2,Homo sapiens (Human),161
RNASE7,Q9H1E1,reviewed,RNAS7_HUMAN,Ribonuclease 7 (RNase 7) (EC 3.1.27.-) (Skin-derived antimicrobial protein 2) (SAP-2),RNASE7 UNQ2516/PRO6006,Homo sapiens (Human),156
RNF123,Q5XPI4,reviewed,RN123_HUMAN,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123),RNF123 KPC1 FP1477,Homo sapiens (Human),1314
RNF149,Q8NC42,reviewed,RN149_HUMAN,E3 ubiquitin-protein ligase RNF149 (EC 2.3.2.27) (DNA polymerase-transactivated protein 2) (RING finger protein 149) (RING-type E3 ubiquitin transferase RNF149),RNF149 DNAPTP2,Homo sapiens (Human),400
RNF20,Q5VTR2,reviewed,BRE1A_HUMAN,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A),RNF20 BRE1A,Homo sapiens (Human),975
ROBO2,Q9HCK4,reviewed,ROBO2_HUMAN,Roundabout homolog 2,ROBO2 KIAA1568,Homo sapiens (Human),1378
ROGDI,Q9GZN7,reviewed,ROGDI_HUMAN,Protein rogdi homolog,ROGDI,Homo sapiens (Human),287
RPGRIP1L,Q68CZ1,reviewed,FTM_HUMAN,Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein),RPGRIP1L FTM KIAA1005 NPHP8,Homo sapiens (Human),1315
RPIA,P49247,reviewed,RPIA_HUMAN,Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase),RPIA RPI,Homo sapiens (Human),311
RPL32,P62910,reviewed,RL32_HUMAN,Large ribosomal subunit protein eL32 (60S ribosomal protein L32),RPL32 PP9932,Homo sapiens (Human),135
RPL38,P63173,reviewed,RL38_HUMAN,Large ribosomal subunit protein eL38 (60S ribosomal protein L38),RPL38,Homo sapiens (Human),70
RPP30,P78346,reviewed,RPP30_HUMAN,Ribonuclease P protein subunit p30 (RNaseP protein p30) (RNase P subunit 2),RPP30 RNASEP2,Homo sapiens (Human),268
RPRD1B,Q9NQG5,reviewed,RPR1B_HUMAN,Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor),RPRD1B C20orf77 CREPT,Homo sapiens (Human),326
RPS6KA4,O75676,reviewed,KS6A4_HUMAN,Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB),RPS6KA4 MSK2,Homo sapiens (Human),772
RPS6KA5,O75582,reviewed,KS6A5_HUMAN,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),RPS6KA5 MSK1,Homo sapiens (Human),802
RPS6KA6,Q9UK32,reviewed,KS6A6_HUMAN,Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4),RPS6KA6 RSK4,Homo sapiens (Human),745
RPTN,Q6XPR3,reviewed,RPTN_HUMAN,Repetin,RPTN,Homo sapiens (Human),784
RPTOR,Q8N122,reviewed,RPTOR_HUMAN,Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein),RPTOR KIAA1303 RAPTOR,Homo sapiens (Human),1335
RRP1B,Q14684,reviewed,RRP1B_HUMAN,Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B),RRP1B KIAA0179,Homo sapiens (Human),758
RSPRY1,Q96DX4,reviewed,RSPRY_HUMAN,RING finger and SPRY domain-containing protein 1,RSPRY1 KIAA1972 UNQ328/PRO444,Homo sapiens (Human),576
RTL1,A6NKG5,reviewed,RTL1_HUMAN,Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11),RTL1 MAR1 MART1 PEG11,Homo sapiens (Human),1358
RTN3,O95197,reviewed,RTN3_HUMAN,Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII),RTN3 ASYIP NSPL2,Homo sapiens (Human),1032
RTN4R,Q9BZR6,reviewed,RTN4R_HUMAN,Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor),RTN4R NOGOR UNQ330/PRO526,Homo sapiens (Human),473
RUSC2,Q8N2Y8,reviewed,RUSC2_HUMAN,AP-4 complex accessory subunit RUSC2 (Interacting protein of Rab1) (Iporin) (RUN and SH3 domain-containing protein 2),RUSC2 KIAA0375,Homo sapiens (Human),1516
RYR2,Q92736,reviewed,RYR2_HUMAN,Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor),RYR2,Homo sapiens (Human),4967
SAA4,P35542,reviewed,SAA4_HUMAN,Serum amyloid A-4 protein (Constitutively expressed serum amyloid A protein) (C-SAA),SAA4 CSAA,Homo sapiens (Human),130
SALL1,Q9NSC2,reviewed,SALL1_HUMAN,Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1),SALL1 SAL1 ZNF794,Homo sapiens (Human),1324
SAMD4A,Q9UPU9,reviewed,SMAG1_HUMAN,Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A),SAMD4A KIAA1053 SAMD4 SMAUG1,Homo sapiens (Human),718
SAMD9,Q5K651,reviewed,SAMD9_HUMAN,Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9),SAMD9 C7orf5 DRIF1 KIAA2004 OEF1,Homo sapiens (Human),1589
SAMD9L,Q8IVG5,reviewed,SAM9L_HUMAN,Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like),SAMD9L C7orf6 DRIF2 KIAA2005 UEF,Homo sapiens (Human),1584
SAP30,O75446,reviewed,SAP30_HUMAN,Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30),SAP30,Homo sapiens (Human),220
SAT2,Q96F10,reviewed,SAT2_HUMAN,Thialysine N-epsilon-acetyltransferase (EC 2.3.1.-) (Diamine acetyltransferase 2) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 2) (SSAT-2),SAT2 SSAT2,Homo sapiens (Human),170
SAT2,Q96QD8,reviewed,S38A2_HUMAN,Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2),SLC38A2 ATA2 KIAA1382 SAT2 SNAT2,Homo sapiens (Human),506
SBF1,O95248,reviewed,MTMR5_HUMAN,Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1) (Sbf1),SBF1 MTMR5,Homo sapiens (Human),1868
SCEL,O95171,reviewed,SCEL_HUMAN,Sciellin,SCEL,Homo sapiens (Human),688
SCFD1,Q8WVM8,reviewed,SCFD1_HUMAN,Sec1 family domain-containing protein 1 (SLY1 homolog) (Sly1p) (Syntaxin-binding protein 1-like 2),SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23,Homo sapiens (Human),642
SCGB2A1,O75556,reviewed,SG2A1_HUMAN,Mammaglobin-B (Lacryglobin) (Lipophilin-C) (Mammaglobin-2) (Secretoglobin family 2A member 1),SCGB2A1 LIPHC MGB2 UGB3,Homo sapiens (Human),95
SCGB3A1,Q96QR1,reviewed,SG3A1_HUMAN,Secretoglobin family 3A member 1 (Cytokine HIN-1) (High in normal 1) (Pneumo secretory protein 2) (PnSP-2) (Uteroglobin-related protein 2),SCGB3A1 HIN1 PNSP2 UGRP2 UNQ629/PRO1245,Homo sapiens (Human),104
SCN10A,Q9Y5Y9,reviewed,SCNAA_HUMAN,Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (hPN3) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.8),SCN10A,Homo sapiens (Human),1956
SCN11A,Q9UI33,reviewed,SCNBA_HUMAN,Sodium channel protein type 11 subunit alpha (Peripheral nerve sodium channel 5) (PN5) (Sensory neuron sodium channel 2) (Sodium channel protein type XI subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.9) (hNaN),SCN11A SCN12A SNS2,Homo sapiens (Human),1791
SCN5A,Q14524,reviewed,SCN5A_HUMAN,Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1),SCN5A,Homo sapiens (Human),2016
SCOC,Q9UIL1,reviewed,SCOC_HUMAN,Short coiled-coil protein,SCOC SCOCO HRIHFB2072,Homo sapiens (Human),159
SCRT1,Q9BWW7,reviewed,SCRT1_HUMAN,Transcriptional repressor scratch 1 (Scratch homolog 1 zinc finger protein) (SCRT) (Scratch 1) (hScrt),SCRT1,Homo sapiens (Human),348
SDC2,P34741,reviewed,SDC2_HUMAN,Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362),SDC2 HSPG1,Homo sapiens (Human),201
SDK2,Q58EX2,reviewed,SDK2_HUMAN,Protein sidekick-2,SDK2 KIAA1514,Homo sapiens (Human),2172
SEC61B,P60468,reviewed,SC61B_HUMAN,Protein transport protein Sec61 subunit beta,SEC61B,Homo sapiens (Human),96
SECTM1,Q8WVN6,reviewed,SCTM1_HUMAN,Secreted and transmembrane protein 1 (Protein K-12),SECTM1 K12,Homo sapiens (Human),248
SEH1L,Q96EE3,reviewed,SEH1_HUMAN,Nucleoporin SEH1 (GATOR2 complex protein SEH1) (Nup107-160 subcomplex subunit SEH1) (SEC13-like protein),SEH1L SEC13L SEH1,Homo sapiens (Human),360
SEMA3G,Q9NS98,reviewed,SEM3G_HUMAN,Semaphorin-3G (Semaphorin sem2),SEMA3G,Homo sapiens (Human),782
SEMA4C,Q9C0C4,reviewed,SEM4C_HUMAN,Semaphorin-4C,SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487,Homo sapiens (Human),833
SEMA5A,Q13591,reviewed,SEM5A_HUMAN,Semaphorin-5A (Semaphorin-F) (Sema F),SEMA5A SEMAF,Homo sapiens (Human),1074
SEPP1,P49908,reviewed,SEPP1_HUMAN,Selenoprotein P (SeP),SELENOP SELP SEPP1,Homo sapiens (Human),381
SEPT2,Q15019,reviewed,SEPT2_HUMAN,Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5),SEPTIN2 DIFF6 KIAA0158 NEDD5 SEPT2,Homo sapiens (Human),361
SERINC2,Q96SA4,reviewed,SERC2_HUMAN,Serine incorporator 2 (Tumor differentially expressed protein 2-like),SERINC2 TDE2L FKSG84 UNQ263/PRO300,Homo sapiens (Human),455
SERPINA4,P29622,reviewed,KAIN_HUMAN,Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4),SERPINA4 KST PI4,Homo sapiens (Human),427
SERPINB13,Q9UIV8,reviewed,SPB13_HUMAN,Serpin B13 (HaCaT UV-repressible serpin) (Hurpin) (Headpin) (Peptidase inhibitor 13) (PI-13) (Proteinase inhibitor 13),SERPINB13 PI13,Homo sapiens (Human),391
SESTD1,Q86VW0,reviewed,SESD1_HUMAN,SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein) (Protein Solo),SESTD1 SOLO,Homo sapiens (Human),696
SETD4,Q9NVD3,reviewed,SETD4_HUMAN,SET domain-containing protein 4 (EC 2.1.1.-) (EC 2.1.1.364),SETD4 C21orf18 C21orf27,Homo sapiens (Human),440
SF3B4,Q15427,reviewed,SF3B4_HUMAN,Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49),SF3B4 SAP49,Homo sapiens (Human),424
SF3B6,Q9Y3B4,reviewed,SF3B6_HUMAN,"Splicing factor 3B subunit 6 (Pre-mRNA branch site protein p14) (SF3b 14 kDa subunit) (SF3B14a) (Spliceosome-associated protein, 14-kDa) (Splicing factor 3b, subunit 6, 14kDa)",SF3B6 SAP14 SF3B14 SF3B14A CGI-110 HSPC175 HT006,Homo sapiens (Human),125
SFI1,A8K8P3,reviewed,SFI1_HUMAN,Protein SFI1 homolog (hSFI1),SFI1 KIAA0542,Homo sapiens (Human),1242
SFMBT1,Q9UHJ3,reviewed,SMBT1_HUMAN,Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1),SFMBT1 RU1,Homo sapiens (Human),866
SFRP4,Q6FHJ7,reviewed,SFRP4_HUMAN,"Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)",SFRP4 FRPHE,Homo sapiens (Human),346
SFXN1,Q9H9B4,reviewed,SFXN1_HUMAN,Sideroflexin-1,SFXN1,Homo sapiens (Human),322
SH2B1,Q9NRF2,reviewed,SH2B1_HUMAN,"SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)",SH2B1 KIAA1299 SH2B,Homo sapiens (Human),756
SH2D1A,O60880,reviewed,SH21A_HUMAN,SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP),SH2D1A DSHP SAP,Homo sapiens (Human),128
SHC2,P98077,reviewed,SHC2_HUMAN,SHC-transforming protein 2 (Protein Sck) (SHC-transforming protein B) (Src homology 2 domain-containing-transforming protein C2) (SH2 domain protein C2),SHC2 SCK SHCB,Homo sapiens (Human),582
SHROOM1,Q2M3G4,reviewed,SHRM1_HUMAN,Protein Shroom1 (Apical protein 2),SHROOM1 APXL2 KIAA1960,Homo sapiens (Human),852
SHROOM2,Q13796,reviewed,SHRM2_HUMAN,Protein Shroom2 (Apical-like protein) (Protein APXL),SHROOM2 APXL,Homo sapiens (Human),1616
SHROOM3,Q8TF72,reviewed,SHRM3_HUMAN,Protein Shroom3 (Shroom-related protein) (hShrmL),SHROOM3 KIAA1481 SHRML MSTP013,Homo sapiens (Human),1996
SIAE,Q9HAT2,reviewed,SIAE_HUMAN,Sialate O-acetylesterase (EC 3.1.1.53) (H-Lse) (Sialic acid-specific 9-O-acetylesterase),SIAE YSG2,Homo sapiens (Human),523
SIGLEC1,Q9BZZ2,reviewed,SN_HUMAN,Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169),SIGLEC1 SN,Homo sapiens (Human),1709
SIPA1L1,O43166,reviewed,SI1L1_HUMAN,Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1),SIPA1L1 E6TP1 KIAA0440,Homo sapiens (Human),1804
SIRPB1,O00241,reviewed,SIRB1_HUMAN,Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b),SIRPB1,Homo sapiens (Human),398
SIRPB1,Q5TFQ8,reviewed,SIRBL_HUMAN,Signal-regulatory protein beta-1 isoform 3 (SIRP-beta-1 isoform 3),SIRPB1,Homo sapiens (Human),398
SKAP1,Q86WV1,reviewed,SKAP1_HUMAN,Src kinase-associated phosphoprotein 1 (Src family-associated phosphoprotein 1) (Src kinase-associated phosphoprotein of 55 kDa) (SKAP-55) (pp55),SKAP1 SCAP1 SKAP55,Homo sapiens (Human),359
SKOR2,Q2VWA4,reviewed,SKOR2_HUMAN,SKI family transcriptional corepressor 2 (Functional Smad-suppressing element on chromosome 18) (Fussel-18) (LBX1 corepressor 1-like protein) (Ladybird homeobox corepressor 1-like protein),SKOR2 CORL2 FUSSEL18,Homo sapiens (Human),1015
SLAIN1,Q8ND83,reviewed,SLAI1_HUMAN,SLAIN motif-containing protein 1,SLAIN1 C13orf32,Homo sapiens (Human),568
SLC10A3,P09131,reviewed,P3_HUMAN,P3 protein (Solute carrier family 10 member 3),SLC10A3 DXS253E P3,Homo sapiens (Human),477
SLC13A2,Q13183,reviewed,S13A2_HUMAN,Solute carrier family 13 member 2 (Na(+)/dicarboxylate cotransporter 1) (NaDC-1) (Renal sodium/dicarboxylate cotransporter),SLC13A2 NADC1 SDCT1,Homo sapiens (Human),592
SLC13A3,Q8WWT9,reviewed,S13A3_HUMAN,Na(+)/dicarboxylate cotransporter 3 (NaDC-3) (hNaDC3) (Na(+)-coupled carboxylate transporter 3) (NaC3) (Sodium-dependent high-affinity dicarboxylate transporter 2) (Solute carrier family 13 member 3) (SLC13A3),SLC13A3 NADC3 SDCT2,Homo sapiens (Human),602
SLC22A11,Q9NSA0,reviewed,S22AB_HUMAN,Solute carrier family 22 member 11 (Organic anion transporter 4) (OAT4) (Organic anion:dicarboxylate exchanger OAT4),SLC22A11 OAT4,Homo sapiens (Human),550
SLC22A12,Q96S37,reviewed,S22AC_HUMAN,Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1) (URAT1) (Urate:anion antiporter SLC22A12),SLC22A12 OATL4 URAT1 UNQ6453/PRO34004,Homo sapiens (Human),553
SLC22A13,Q9Y226,reviewed,S22AD_HUMAN,Solute carrier family 22 member 13 (Organic anion transporter 10) (OAT10) (Organic cation transporter-like 3) (ORCTL-3) (ORCTL3),SLC22A13 OCTL1 ORCTL3,Homo sapiens (Human),551
SLC22A5,O76082,reviewed,S22A5_HUMAN,Organic cation/carnitine transporter 2 (High-affinity sodium-dependent carnitine cotransporter) (Solute carrier family 22 member 5),SLC22A5 OCTN2,Homo sapiens (Human),557
SLC22A6,Q4U2R8,reviewed,S22A6_HUMAN,Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1),SLC22A6 OAT1 PAHT,Homo sapiens (Human),563
SLC25A10,Q9UBX3,reviewed,DIC_HUMAN,Mitochondrial dicarboxylate carrier (DIC) (Solute carrier family 25 member 10),SLC25A10 DIC,Homo sapiens (Human),287
SLC25A11,Q02978,reviewed,M2OM_HUMAN,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (alpha-oxoglutarate carrier) (Solute carrier family 25 member 11) (SLC25A11),SLC25A11 SLC20A4,Homo sapiens (Human),314
SLC25A13,Q9UJS0,reviewed,S2513_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Calcium-binding mitochondrial carrier protein Aralar2) (ARALAR-related gene 2) (ARALAR2) (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)",SLC25A13,Homo sapiens (Human),675
SLC26A11,Q86WA9,reviewed,S2611_HUMAN,Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11),SLC26A11,Homo sapiens (Human),606
SLC26A9,Q7LBE3,reviewed,S26A9_HUMAN,Solute carrier family 26 member 9 (Anion transporter/exchanger protein 9),SLC26A9,Homo sapiens (Human),791
SLC27A2,O14975,reviewed,S27A2_HUMAN,"Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)",SLC27A2 ACSVL1 FACVL1 FATP2 VLACS,Homo sapiens (Human),620
SLC34A1,Q06495,reviewed,NPT2A_HUMAN,Sodium-dependent phosphate transport protein 2A (Sodium-phosphate transport protein 2A) (Na(+)-dependent phosphate cotransporter 2A) (NaPi-3) (Sodium/phosphate cotransporter 2A) (Na(+)/Pi cotransporter 2A) (NaPi-2a) (Solute carrier family 34 member 1),SLC34A1 NPT2 SLC17A2,Homo sapiens (Human),639
SLC35D2,Q76EJ3,reviewed,S35D2_HUMAN,Nucleotide sugar transporter SLC35D2 (Homolog of Fringe connection protein 1) (HFRC1) (SQV7-like protein) (SQV7L) (Solute carrier family 35 member D2) (UDP-galactose transporter-related protein 8) (UGTrel8),SLC35D2 HFRC UGTREL8,Homo sapiens (Human),337
SLC35D3,Q5M8T2,reviewed,S35D3_HUMAN,Solute carrier family 35 member D3 (Fringe connection-like protein 1),SLC35D3 FRCL1,Homo sapiens (Human),416
SLC37A2,Q8TED4,reviewed,G6PT3_HUMAN,Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2),SLC37A2,Homo sapiens (Human),501
SLC38A3,Q99624,reviewed,S38A3_HUMAN,Sodium-coupled neutral amino acid transporter 3 (N-system amino acid transporter 1) (Na(+)-coupled neutral amino acid transporter 3) (Solute carrier family 38 member 3) (System N amino acid transporter 1),SLC38A3 G17 NAT1 SN1 SNAT3,Homo sapiens (Human),504
SLC38A5,Q8WUX1,reviewed,S38A5_HUMAN,Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2),SLC38A5 JM24 SN2 SNAT5 PP7194,Homo sapiens (Human),472
SLC39A5,Q6ZMH5,reviewed,S39A5_HUMAN,Zinc transporter ZIP5 (Solute carrier family 39 member 5) (Zrt- and Irt-like protein 5) (ZIP-5),SLC39A5 ZIP5,Homo sapiens (Human),540
SLC46A3,Q7Z3Q1,reviewed,S46A3_HUMAN,Lysosomal proton-coupled steroid conjugate and bile acid symporter SLC46A3 (Solute carrier family 46 member 3),SLC46A3 FKSG16,Homo sapiens (Human),461
SLC4A4,Q9Y6R1,reviewed,S4A4_HUMAN,Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1),SLC4A4 NBC NBC1 NBCE1,Homo sapiens (Human),1079
SLC4A8,Q2Y0W8,reviewed,S4A8_HUMAN,Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na(+)-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3),SLC4A8 KIAA0739 NBC NBC3 NDCBE1,Homo sapiens (Human),1093
SLC5A1,P13866,reviewed,SC5A1_HUMAN,Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1),SLC5A1 NAGT SGLT1,Homo sapiens (Human),664
SLC5A10,A0PJK1,reviewed,SC5AA_HUMAN,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),SLC5A10 SGLT5,Homo sapiens (Human),596
SLC5A5,Q92911,reviewed,SC5A5_HUMAN,Sodium/iodide cotransporter (Na(+)/I(-) cotransporter) (Natrium iodide transporter) (Sodium-iodide symporter) (Na(+)/I(-) symporter) (Solute carrier family 5 member 5),SLC5A5 NIS,Homo sapiens (Human),643
SLC5A8,Q8N695,reviewed,SC5A8_HUMAN,Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8),SLC5A8 AIT SMCT SMCT1,Homo sapiens (Human),610
SLC5A9,Q2M3M2,reviewed,SC5A9_HUMAN,Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (hSGLT4) (Solute carrier family 5 member 9),SLC5A9 SGLT4,Homo sapiens (Human),681
SLC6A13,Q9NSD5,reviewed,S6A13_HUMAN,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),SLC6A13 GAT2,Homo sapiens (Human),602
SLC6A15,Q9H2J7,reviewed,S6A15_HUMAN,Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3),SLC6A15 B0AT2 NTT73 SBAT1,Homo sapiens (Human),730
SLC7A10,Q9NS82,reviewed,AAA1_HUMAN,Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10),SLC7A10 ASC1,Homo sapiens (Human),523
SLC9A3,P48764,reviewed,SL9A3_HUMAN,Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3),SLC9A3 NHE3,Homo sapiens (Human),834
SLC9C1,Q4G0N8,reviewed,SL9C1_HUMAN,Solute carrier family 9 member C1 (Na(+)/H(+) exchanger 10) (NHE-10) (Sodium/hydrogen exchanger 10) (Solute carrier family 9 member 10) (Sperm-specific Na(+)/H(+) exchanger) (sNHE),SLC9C1 SLC9A10,Homo sapiens (Human),1177
